Group,Title,Image,Description,Address,Latitude,Longitude,Found Address,Match Quality,Source
,fireball,,,,34.1469444,-86.1305556,,,
,formation,,,,40.2977778,-77.8744444,,,
,cigar,,,,40.7280556,-74.0780556,,,
,oval,,,,43.5688889,-86.0394444,,,
,fireball,,,,42.9572222,-83.8305556,,,
,unknown,,,,42.5611111,-71.5902778,,,
,disk,,,,35.8966667,-77.5361111,,,
,light,,,,44.4269444,-124.0675,,,
,light,,,,34.2572222,-118.6002778,,,
,triangle,,,,43.5341667,-70.9102778,,,
,triangle,,,,27.9375,-82.2861111,,,
,light,,,,43.4133333,-86.0794444,,,
,sphere,,,,34.9852778,-80.5497222,,,
,triangle,,,,41.7386111,-80.77,,,
,sphere,,,,38.9716667,-95.235,,,
,circle,,,,42.225,-121.7805556,,,
,light,,,,40.0638889,-80.7211111,,,
,sphere,,,,46.216667,-63.483333,,,
,oval,,,,43.2166667,-123.3405556,,,
,fireball,,,,43.1488889,-72.3611111,,,
,triangle,,,,36.0988889,-78.3013889,,,
,disk,,,,43.9147222,-113.6125,,,
,oval,,,,37.99,-84.1797222,,,
,circle,,,,39.7338889,-90.2288889,,,
,oval,,,,41.5619444,-73.6030556,,,
,rectangle,,,,38.6172222,-121.3272222,,,
,disk,,,,44.8830556,-68.6725,,,
,oval,,,,48.0511111,-119.9022222,,,
,light,,,,33.7358333,-118.2913889,,,
,light,,,,42.0969444,-79.2355556,,,
,other,,,,34.8297222,-82.6016667,,,
,circle,,,,33.78,-118.2616667,,,
,cigar,,,,35.7563889,-83.9705556,,,
,triangle,,,,34.7463889,-92.2894444,,,
,disk,,,,36.1325,-88.5186111,,,
,cigar,,,,36.175,-115.1363889,,,
,other,,,,34.7047222,-85.2819444,,,
,triangle,,,,32.5402778,-82.9038889,,,
,egg,,,,37.2152778,-93.2980556,,,
,unknown,,,,32.5005556,-94.7402778,,,
,triangle,,,,33.4147222,-111.9086111,,,
,light,,,,40.2986111,-83.0680556,,,
,light,,,,45.4297222,-108.5325,,,
,triangle,,,,36.3377778,-96.8036111,,,
,disk,,,,40.7141667,-74.0063889,,,
,changing,,,,42.1486111,-72.6083333,,,
,triangle,,,,34.4208333,-119.6972222,,,
,cigar,,,,38.2430556,-93.3816667,,,
,circle,,,,36.175,-115.1363889,,,
,disk,,,,40.4436111,-76.4286111,,,
,disk,,,,38.4783333,-82.6380556,,,
,rectangle,,,,40.4619444,-78.2,,,
,other,,,,41.5733333,-87.7844444,,,
,triangle,,,,40.6836111,-73.5105556,,,
,triangle,,,,43.1977778,-70.8741667,,,
,formation,,,,29.7630556,-95.3630556,,,
,triangle,,,,39.2275,-83.2705556,,,
,oval,,,,40.7141667,-74.0063889,,,
,sphere,,,,37.3230556,-122.0311111,,,
,sphere,,,,32.8338889,-109.7069444,,,
,fireball,,,,30.1577778,-95.4891667,,,
,triangle,,,,47.4736111,-94.88,,,
,rectangle,,,,32.9125,-96.6386111,,,
,other,,,,42.4811111,-74.6108333,,,
,cigar,,,,35.2269444,-80.8433333,,,
,light,,,,44.5191667,-88.0197222,,,
,triangle,,,,34.6422222,-82.4561111,,,
,triangle,,,,41.6527778,-70.2833333,,,
,triangle,,,,41.1416667,-87.875,,,
,light,,,,43.4222222,-123.2972222,,,
,other,,,,36.6913889,-79.8727778,,,
,triangle,,,,33.0183333,-80.1758333,,,
,light,,,,28.0391667,-81.95,,,
,triangle,,,,41.7355556,-111.8336111,,,
,light,,,,45.5236111,-122.675,,,
,fireball,,,,45.2113889,-122.9755556,,,
,disk,,,,47.0566667,-122.7,,,
,fireball,,,,35.2333333,-106.6638889,,,
,light,,,,37.2255556,-107.5975,,,
,sphere,,,,37.775,-122.4183333,,,
,disk,,,,42.0372222,-88.2811111,,,
,fireball,,,,32.9594444,-117.2644444,,,
,fireball,,,,32.8472222,-117.2733333,,,
,oval,,,,42.9955556,-71.4552778,,,
,triangle,,,,40.7419444,-95.0380556,,,
,triangle,,,,40.3513889,-90.3244444,,,
,other,,,,44.7930556,-89.7030556,,,
,fireball,,,,29.4238889,-98.4933333,,,
,light,,,,41.8327778,-87.9288889,,,
,light,,,,45.5236111,-122.675,,,
,triangle,,,,41.3683333,-82.1077778,,,
,unknown,,,,40.7141667,-74.0063889,,,
,cigar,,,,35.2225,-97.4391667,,,
,light,,,,36.175,-115.1363889,,,
,unknown,,,,25.7738889,-80.1938889,,,
